LAKE,AREA,HYDRO_POS,LAKE_ORDER,MEAN_LENGTH,MEAN_LENGTH_SE,MEAN_HG_CONC,MEAN_HG_CONC_SE,N_FISH
Allequash,430,D,1,183,4.1,0.057,0.0047,5
Arrowhead,94,H,0,153,3.8,0.025,0.0013,3
Beaver,63,D,2,164,11.5,0.084,0.0115,5
Big,804,D,3,145,7.6,0.036,0.0057,3
Big Gibson,119,S,-2,156,10.5,0.141,0.0172,5
Big Muskellunge,881,S,-1,144,5.8,0.044,0.0064,4
Boulder,535,D,3,97,9,0.054,0.0035,5
Brandy,109,D,2,131,12.1,0.048,0.0026,9
Crampton,65,S,-2,136,3.2,0.17,0.02,3
Crystal,89,S,-2,208,2,0.101,0.0345,3
Diamond,119,S,-2,128,14.8,0.217,0.0343,6
Flora,95,H,0,138,9.1,0.139,0.024,3
Ike Walton,1406,S,-1,159,11,0.14,0.01,2
Island,891,D,4,134,10.8,0.055,0.0074,6
Johnson,81,D,2,156,3.5,0.053,0.0134,3
Katherine,528,H,0,211,23.5,0.08,0.015,2
Katinka,172,S,-2,149,1.2,0.066,0.0095,3
Lehto,78,H,0,127,18.5,0.106,0.0445,2
Little Crooked,150,D,2,151,5.4,0.075,0.0081,3
Little Spider,216,H,0,155,8.1,0.04,0.0017,7
Little Sugarbush,42,S,-2,105,11.2,0.048,0.0047,5
Little Trout,1007,S,-1,140,17.7,0.042,0.0075,4
Lower Kaubeshine,194,D,1,143,13.6,0.043,0.0054,7
Lynx,299,H,0,137,5,0.11,0.0058,3
McCullough,223,D,2,155,1,0.068,0.004,2
Mid,258,D,2,163,15,0.066,0.0115,2
Minocqua,1998,D,2,171,10.2,0.064,0.0082,3
Muskesin,113,S,-2,146,16,0.12,0.0205,4
Nixon,120,D,2,154,10.2,0.091,0.009,5
Partridge,238,H,0,152,9.5,0.021,0.0048,4
Randall,118,D,2,152,23.5,0.068,0.0065,2
Round,179,D,3,111,10.8,0.067,0.0109,8
Sanford,89,H,0,133,16.3,0.13,0.0295,6
Sparkling,158,S,-2,142,8.5,0.058,0.0086,3
Statenaker,207,S,-2,144,11,0.103,0.0077,5
Stearns,238,S,-2,126,13,0.037,0.0054,7
Tomahawk,3693,D,2,142,7.3,0.042,0.0015,3
Trout,3875,D,2,161,13.5,0.077,0.0108,4
Upper Kaubeshine,175,H,0,135,16.5,0.045,0.004,7
White Birch,113,D,1,151,6.1,0.053,0.0071,3
White Sand,739,D,2,135,8,0.041,0.0091,4
Wild Rice,376,D,3,120,14.5,0.068,0.0105,7
Wildcat,350,H,0,146,3.1,0.015,0.0006,3
